,Fossil fuel and cement production emissions by fuel type,,,,,,,
,"All values in million tonnes of carbon per year (MtC/yr), except the per capita emissions which are in tonnes of carbon per person per year (tC/person/yr). For values in million tonnes of CO2 per year, multiply the values below by 3.664",,,,,,,
,1MtC = 1 million tonne of carbon = 3.664 million tonnes of CO2,,,,,,,
,Methods: Full details of the method are described in Friedlingstein et al (2022b) and Andrew and Peters (2021). Full country and fuel data can be found at https://zenodo.org/record/7215364#.Y1JIIHbRZmM,,,,,,,
,The uncertainty for the global estimates is about ±5 % for a ± 1 sigma confidence level. ,,,,,,,
,Cite as: Friedlingstein et al (2022b; see summary tab),,,,,,,
,,,,,,,,
MtC/yr,,,,,,,,
Year,fossil.emissions.excluding.carbonation,Coal,Oil,Gas,Cement.emission,Flaring,Other,Per.Capita
1929,1164.75,961.31,164.51,28.08,10.06,0.00,0.78,0.56
1930,1073.89,877.20,157.91,28.45,9.71,0.00,0.62,0.51
1931,959.86,772.53,153.04,25.35,8.44,0.00,0.50,0.45
1932,865.39,687.76,146.45,24.08,6.75,0.00,0.36,0.41
1933,911.12,719.33,160.04,24.81,6.51,0.00,0.42,0.42
1934,990.93,785.55,169.33,27.82,7.79,0.00,0.44,0.46
1935,1040.15,817.93,182.53,30.40,8.76,0.00,0.54,0.47
1936,1141.13,896.61,199.00,34.26,10.58,0.00,0.68,0.51
1937,1219.81,945.34,224.21,38.37,11.14,0.00,0.74,0.54
1938,1146.64,881.02,217.52,36.98,10.52,0.00,0.60,0.51
1939,1213.28,937.59,226.59,38.57,9.74,0.00,0.78,0.53
1940,1324.96,1035.48,238.12,41.90,8.58,0.00,0.88,0.57
1941,1355.25,1060.09,240.36,41.88,11.82,0.00,1.10,0.58
1942,1351.97,1066.99,228.09,45.32,10.47,0.00,1.10,0.58
1943,1374.20,1071.24,242.36,49.92,9.50,0.00,1.18,0.58
1944,1394.83,1055.66,277.88,53.93,6.19,0.00,1.18,0.59
1945,1160.01,818.31,275.20,59.14,6.27,0.00,1.08,0.49
1946,1265.92,882.73,311.11,61.09,9.92,0.00,1.08,0.53
1947,1402.43,988.41,333.33,67.66,11.79,0.00,1.24,0.58
1948,1478.09,1020.59,365.61,76.45,14.11,0.00,1.32,0.60
1949,1431.73,967.88,364.80,82.00,15.90,0.00,1.14,0.58
1950,1638.45,1052.46,449.87,96.39,18.28,20.09,1.36,0.66
1951,1741.21,1108.09,475.53,113.59,20.70,21.80,1.50,0.68
1952,1764.66,1094.18,501.64,122.02,22.06,23.30,1.46,0.68
1953,1814.35,1103.63,532.78,129.51,24.46,22.20,1.76,0.69
1954,1853.16,1102.49,564.56,136.83,26.54,21.18,1.56,0.69
1955,2031.45,1193.44,630.97,149.35,29.36,26.43,1.90,0.74
1956,2162.73,1254.68,684.51,160.27,31.83,29.52,1.92,0.77
1957,2234.05,1277.78,715.41,176.49,33.46,29.04,1.86,0.78
1958,2297.39,1297.59,744.10,192.64,35.42,25.96,1.68,0.79
1959,2417.09,1350.44,792.75,206.94,39.67,25.03,2.26,0.81
1960,2562.14,1406.27,853.29,227.76,42.98,24.33,7.51,0.85
1961,2570.54,1349.15,904.34,240.72,44.82,23.53,7.97,0.84
1962,2661.32,1345.19,972.15,264.11,48.16,23.45,8.26,0.85
1963,2803.40,1394.53,1039.02,285.70,50.78,24.70,8.67,0.88
1964,2955.68,1423.36,1121.06,314.65,56.28,30.78,9.55,0.90
1965,3088.86,1444.66,1204.25,335.85,59.09,35.60,9.42,0.93
1966,3238.79,1460.51,1299.66,365.68,63.61,39.46,9.89,0.95
1967,3341.71,1437.26,1385.67,391.09,65.48,52.07,10.15,0.96
1968,3523.72,1452.85,1509.36,425.65,69.70,55.62,10.53,0.99
1969,3757.48,1507.05,1632.23,466.30,73.91,66.60,11.38,1.04
1970,4066.24,1554.66,1856.24,488.72,78.71,75.80,12.10,1.10
1971,4231.85,1555.63,1965.86,527.65,82.79,87.73,12.19,1.12
1972,4429.24,1553.93,2119.71,560.05,87.76,94.67,13.12,1.15
1973,4663.26,1599.91,2245.07,601.50,92.93,109.75,14.09,1.19
1974,4644.51,1600.93,2212.85,616.54,93.08,106.81,14.30,1.16
1975,4654.65,1647.68,2194.06,615.60,92.55,91.89,12.87,1.14
