,Fossil CO2 emissions by country (territorial),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927,,,0.02,,,,,3.65,0.06,0.01,7.89,5.49,0.35,,,0.00,,0.73,24.69,,,,,0.00,0.34,,1.66,,,0.50,,0.00,,25.11,,,,1.06,12.50,0.23,,,,,,0.37,,0.15,,10.59,0.49,0.06,3.64,,,,0.06,0.16,,,,0.26,,,,,0.78,58.14,,,,,0.11,131.33,,0.63,,,,,,,,,,,3.57,,11.43,3.52,0.04,1.84,4.56,,11.02,,24.42,,1.74,,,,,0.15,,0.18,,,,,,0.27,,,0.25,,,0.92,,,,,,,,,8.68,,0.03,,,0.01,,,,,10.36,,1.23,,,0.26,,2.37,,,0.00,,,,,1.28,0.01,,16.56,0.99,,,0.03,0.27,0.00,0.00,,4.40,16.03,0.00,,,0.02,,,,,0.99,,,,3.41,0.28,,,8.07,5.85,,,,,,,4.88,2.35,,1.35,0.09,,,,,0.57,,0.90,0.22,,,,5.09,,127.38,,508.42,,0.68,,0.28,1.08,,,,0.66,1020.31,69.69,1004.13,85.87,300.03,9.24,59.14,0.75,455.86,5.49,542.20,9.11,8.21,0.00,0.00,1090.00
1928,,,0.02,,,,,3.48,0.06,0.02,7.17,5.78,0.38,,,0.00,0.00,0.81,24.08,,,,,0.00,0.39,,1.62,,,0.58,,0.00,,25.59,,,,1.00,12.99,0.37,,,,,,0.41,,0.34,,11.15,0.56,0.08,3.43,,,,0.13,0.24,,,,0.30,,,,,0.85,57.76,,,,,0.12,137.83,,0.65,,,,,,,,,,,3.75,,10.94,4.05,0.08,1.77,4.83,,10.41,,25.22,,1.94,,,,,0.17,,0.19,,,,,,0.30,,,0.28,,,1.04,,,,,,,,,6.57,,0.04,,0.01,0.01,0.86,,,,10.37,,1.29,,,0.26,,2.31,,,0.00,,,,,1.47,0.02,0.00,17.16,1.09,,,0.03,0.30,0.00,0.00,,4.99,17.81,0.00,,,0.04,,,,,1.12,,,,3.59,0.32,,,8.09,5.87,,,,,,,4.43,2.45,,1.15,0.09,,,,,0.88,,0.85,0.24,,,,5.65,,119.44,,499.72,,0.74,,0.52,1.45,,,,0.79,1013.72,71.45,992.24,92.94,307.08,9.49,62.04,1.29,457.67,5.76,531.88,8.46,8.58,0.00,0.00,1085.17
1929,,,0.02,,,,,3.58,0.07,0.03,6.46,6.60,0.41,,,0.00,0.00,0.87,26.46,,,,,0.01,0.42,,1.73,,,0.68,,0.00,,27.03,,,,1.10,13.18,0.35,,,,,,0.46,,0.42,,12.47,0.64,0.08,4.13,,,,0.16,0.25,,,,0.32,,,,,0.91,63.94,,,,,0.13,147.17,,0.74,,,,,,,,,,,4.12,,11.38,5.06,0.10,2.73,4.65,,12.02,,25.90,,2.09,,,,,0.18,,0.21,,,,,,0.32,,,0.31,,,1.12,,,,,,,,,6.04,,0.04,,0.01,0.00,0.83,,,,11.26,,1.34,,,0.25,,2.60,,,0.00,,,,,1.93,0.02,0.00,19.84,1.08,,,0.04,0.32,0.00,0.00,,5.59,19.18,0.00,,,0.05,,,,,1.22,,,,4.01,0.35,,,8.40,6.54,,,,,,,5.29,2.80,,1.14,0.10,,,,,0.98,,0.97,0.26,,,,6.08,,125.73,,535.89,,0.79,,0.53,1.45,,,,0.75,1090.25,74.51,1065.87,98.89,337.25,9.77,64.80,1.49,496.83,5.72,568.96,7.79,9.40,0.00,0.00,1164.75
1930,,,0.02,,,,,3.48,0.09,0.04,6.01,5.15,0.57,,,0.00,0.00,1.19,25.57,,,,,0.01,0.40,,1.50,,0.00,0.66,,0.00,,25.75,,,,1.05,13.53,0.18,,,,,,0.43,,0.55,,11.00,0.61,0.11,3.77,,,,0.19,0.28,,,,0.43,,,,,0.72,64.86,,,,,0.17,126.12,,0.78,,,,,,,,,,,3.42,,11.57,4.94,0.10,2.61,5.05,0.01,10.79,,23.52,,2.84,,,,,0.24,,0.28,,,,,,0.44,,,0.29,,,1.00,,,,,,,,,5.56,,0.04,,0.01,0.00,0.84,,,,11.13,,1.33,,,0.26,,2.38,,,0.00,,,,,1.53,0.02,0.00,15.44,1.18,,,0.03,0.44,0.00,0.00,,6.34,26.08,0.00,,,0.07,,,,,1.15,,,,3.52,0.33,,,7.84,6.45,,,,,,,5.17,2.61,,1.16,0.14,,,,,1.00,,1.08,0.36,,,,8.27,,120.38,,476.23,,1.09,,0.01,1.44,,,,0.68,999.14,74.75,964.38,109.51,306.58,9.20,64.15,1.66,469.81,6.25,507.54,7.34,7.95,0.00,0.00,1073.89
1931,,,0.03,,,,,3.51,0.11,0.03,5.33,4.94,0.68,,,0.00,0.00,1.43,22.96,,,,,0.01,0.37,,1.14,,0.00,0.62,,0.00,,20.70,,,,0.80,14.17,0.09,,,,,,0.39,,0.46,,10.29,0.64,0.07,3.91,,,,0.21,0.27,,,,0.52,,,,,0.82,59.36,,,,,0.21,105.34,,0.74,,,,,,,,,,,3.05,,10.60,4.61,0.10,2.69,4.89,0.01,9.33,,21.26,,3.41,,,,,0.29,,0.34,0.00,,,,,0.53,,,0.27,,,0.74,,,,,,,,,4.57,,0.04,,0.02,0.00,0.80,,,,12.27,,1.16,,,0.24,,2.21,,,0.00,,,,,1.23,0.02,0.00,14.96,1.07,,,0.04,0.53,0.00,0.00,,7.05,31.33,0.00,,,0.05,,,,,1.07,,,,3.30,0.30,,,6.98,6.15,,,,,,,5.17,2.76,0.00,1.03,0.17,0.01,,,,0.84,,1.07,0.43,,,,9.94,,112.50,,405.28,,1.31,,0.00,1.27,,,,0.43,888.59,71.28,844.87,114.99,276.12,8.04,61.80,1.39,438.54,6.08,430.56,6.49,6.97,0.00,0.00,959.86
1932,,,0.03,,,,,3.58,0.13,0.03,5.55,4.14,0.76,,,0.00,0.00,1.61,18.48,,,,,0.01,0.33,,1.14,,0.00,0.72,,0.00,,19.16,,,,0.79,13.72,0.02,,,,,,0.36,,0.45,,8.97,0.76,0.01,3.66,,,,0.19,0.26,,,,0.58,,,,,0.82,52.34,,,,,0.24,94.84,,0.73,,,,,,,,,,,2.79,,9.86,4.53,0.10,1.75,5.48,0.01,7.66,,21.28,,3.84,,,,,0.33,,0.38,0.00,,,,,0.60,,,0.24,,,0.49,,,,,,,,,4.42,,0.03,,0.04,0.02,0.81,,,,11.30,,0.97,,,0.19,,2.36,,,0.00,,,,,1.12,0.02,0.00,11.46,0.92,,,0.04,0.59,0.00,0.00,,7.47,35.30,0.00,,,0.05,,,,,0.97,,,,2.87,0.28,,,6.40,5.78,,,,,,,5.11,2.79,0.00,0.98,0.19,0.01,,,,0.89,0.00,1.09,0.48,,,,11.20,,108.05,,343.29,0.02,1.47,,1.04,1.26,,,,0.32,793.98,71.42,744.31,121.08,244.03,7.27,61.20,1.42,407.51,6.70,366.87,6.52,7.90,0.00,0.00,865.39
1933,,0.00,0.03,,,,,3.61,0.14,0.03,5.89,3.88,0.86,,0.00,0.00,0.00,1.80,19.83,,,,,0.01,0.31,,1.29,,0.00,0.64,,0.00,,18.96,,,,1.12,14.77,0.15,,,,,,0.33,,0.48,,8.21,0.89,0.00,3.65,,,,0.20,0.24,,,,0.65,,,,,0.88,54.42,,,,,0.26,99.61,,0.63,,,,,,,,,,,2.73,,9.68,4.87,0.10,2.53,6.03,0.02,8.32,,24.93,,4.29,,,,,0.37,,0.43,0.00,,,,,0.67,,,0.23,0.00,,0.43,,,,,,,,,4.57,,0.03,,0.05,0.01,0.82,,,,10.53,,0.97,,,0.17,,2.51,,,0.00,,,,,1.82,0.02,0.01,11.79,1.09,,,0.05,0.66,0.00,0.00,,7.45,39.45,0.00,,,0.06,,,,,0.90,,,,2.63,0.25,,,6.91,5.11,,,,,,,5.33,2.61,0.00,1.15,0.21,0.01,,,,1.11,0.00,1.27,0.54,,,,12.51,,107.03,,368.14,0.02,1.65,,0.77,1.17,,,,0.35,834.58,76.54,780.12,131.00,251.58,7.78,67.11,1.68,419.62,7.43,391.68,6.86,8.98,0.00,0.00,911.12
1934,,0.00,0.04,,,,,3.89,0.17,0.04,6.19,3.75,1.03,,0.03,0.00,0.00,2.17,20.46,,,,,0.01,0.32,,1.26,,0.01,0.67,,0.00,,21.81,,,,1.32,17.03,0.20,,,,,,0.35,,0.53,,8.20,1.19,0.00,4.00,,,,0.20,0.22,,,,0.79,,,,,1.08,54.95,,,,,0.32,111.52,,0.77,,,,,,,,,,,2.89,,10.81,5.25,0.78,2.59,6.41,0.02,10.82,,27.62,,5.19,,,,,0.44,,0.52,,,,,,0.81,,,0.24,0.00,,0.47,,,,,,,,,5.16,,0.03,,0.05,0.02,0.84,,,,10.54,,1.09,,,0.19,,2.59,,,0.00,,,,,1.84,0.02,0.02,12.34,1.12,,,0.07,0.80,0.00,0.00,,8.64,47.72,0.00,,,0.06,,,,,0.94,,,,2.62,0.26,,,7.88,5.53,,,,,,,5.93,2.61,0.00,1.14,0.25,0.01,,,,1.30,0.00,1.58,0.66,,,,15.14,,115.50,,391.99,0.01,1.99,,1.43,1.17,,,,0.47,903.40,87.53,837.70,153.22,271.14,8.88,75.68,1.94,459.20,8.83,418.95,7.28,10.17,0.00,0.00,990.93
1935,,0.01,0.04,,,,,3.82,0.19,0.04,6.89,3.80,1.17,,0.15,0.00,0.00,2.46,19.55,,,,,0.01,0.34,,1.50,,0.01,0.67,,0.00,,21.51,,,,1.39,19.83,0.66,,,,,,0.36,,0.59,,8.44,1.40,0.01,4.16,,,,0.21,0.20,,,,0.89,,,,,0.96,53.32,,,,,0.36,123.45,,0.79,,,,,,,,,,,3.02,,11.30,5.46,1.56,2.60,6.37,0.02,12.38,,29.03,,5.87,,,,,0.50,,0.59,0.01,,,,,0.91,,,0.25,0.00,,0.49,,,,,,,,,5.85,,0.03,,0.06,0.01,0.83,,,,10.17,,1.13,,,0.19,,2.67,,,0.00,,,,,1.96,0.03,0.02,12.60,1.19,,,0.08,0.91,0.00,0.00,,8.61,54.01,0.00,,,0.07,,,0.00,,0.98,,,,2.70,0.28,,,8.78,6.13,,,,,,,6.24,2.59,0.00,1.19,0.29,0.01,,,,1.39,0.00,1.62,0.74,,,,17.13,,117.11,,407.29,0.01,2.25,,1.63,1.30,,,,0.50,943.20,96.95,869.88,170.27,283.84,9.80,82.32,2.10,482.32,9.74,434.65,8.02,11.21,0.00,0.00,1040.15
1936,,0.03,0.01,,,,,4.12,0.22,0.04,7.38,3.71,1.34,,0.53,0.00,0.00,2.82,20.47,,,,,0.01,0.33,,1.40,,0.02,0.69,,0.00,,23.52,,,,1.37,20.60,0.76,,,,,,0.36,,0.64,,9.17,1.64,0.01,4.31,,,,0.24,0.20,,,,1.02,,,,,1.35,54.06,,,,,0.41,136.36,,0.92,,,,,,,,,,,3.25,0.01,11.10,5.94,1.58,2.77,6.97,0.02,8.73,,31.89,,6.74,,,,,0.58,,0.67,0.02,,,,,1.05,,,0.24,,,0.56,,,,,,,,,5.99,,0.03,,0.06,0.01,0.85,,,,10.89,,1.14,,,0.22,,2.85,,,0.00,,,,,2.02,0.03,0.01,13.62,1.13,,,0.09,1.04,0.00,0.00,,9.05,61.94,0.00,,,0.08,,,0.00,,0.97,,,,2.94,0.27,,,9.62,2.20,,,,,,,6.84,2.71,0.01,1.29,0.33,0.01,,,,1.57,0.01,1.60,0.85,,,,19.65,,123.85,,467.63,0.01,2.57,,0.86,1.60,,,,0.51,1038.37,102.76,954.06,187.07,295.81,10.65,88.66,2.34,512.27,10.73,497.14,8.52,10.81,0.00,0.00,1141.13
1937,,0.08,0.02,,,,,4.56,0.23,0.05,7.88,4.16,1.37,,0.89,0.00,0.00,2.88,24.64,,,,,0.01,0.37,,1.66,,0.06,0.76,,0.00,,25.51,,,,1.44,19.37,0.76,,,,,,0.40,,0.75,,11.11,1.75,0.03,4.45,,,,0.27,0.19,,,,1.05,,,,,1.85,59.42,,,,,0.42,153.80,,0.98,,,,,,,,,,,3.72,0.01,12.30,6.92,1.70,2.83,8.65,0.02,12.33,,34.23,,6.89,,,,,0.59,,0.69,0.02,,,,,1.07,,,0.27,,,0.64,,,,,,,,,6.80,,0.04,,0.10,0.02,0.88,,,,12.01,,1.20,,,0.27,,3.21,,,0.00,,,,,2.40,0.03,0.01,15.38,1.35,,,0.10,1.07,0.00,0.00,,7.77,63.33,0.00,,,0.09,,,0.01,,1.08,,,,3.55,0.31,,,10.05,1.43,,,,,,,7.90,2.86,0.02,1.43,0.34,0.01,,,,1.98,0.01,1.16,0.87,,,,20.09,,127.76,,489.25,0.02,2.63,,2.56,1.70,,,,0.75,1108.25,111.55,1023.67,196.14,332.93,11.42,92.76,2.88,555.97,12.46,521.56,9.07,13.69,0.00,0.00,1219.81
1938,,0.10,0.01,,,,,4.46,0.24,0.05,7.65,1.58,1.45,,0.95,0.00,0.00,3.04,21.59,,,,,0.01,0.35,,1.66,,0.06,0.87,,0.00,,23.35,,,,1.51,16.75,0.82,,,,,,0.38,,0.81,,12.72,2.35,0.03,3.99,,,,0.28,0.24,,,,1.11,,,,,1.55,55.08,,,,,0.45,164.10,,0.78,,,,,,,,,,0.01,4.03,,13.75,7.30,1.62,2.72,8.67,0.01,12.28,,35.95,,7.27,,,,,0.62,,0.72,0.02,,,,,1.13,,,0.26,,,0.52,,,,,,,,,6.62,,0.03,,0.13,0.01,0.84,,,,11.82,,1.16,,,0.27,,2.86,,,0.00,,,,,2.18,0.04,0.02,16.36,1.12,,,0.13,1.12,0.00,0.00,,7.29,66.84,0.00,,,0.10,,,0.06,,1.02,,,,4.09,0.29,,,10.56,3.61,,,,,,,7.13,2.85,0.02,1.61,0.36,0.01,,,,2.28,0.01,1.26,0.92,,,,21.20,,122.53,,413.69,0.02,2.78,,1.67,1.73,,,,0.76,1034.42,112.22,945.52,201.11,336.33,12.01,95.14,3.25,558.54,12.60,443.66,8.81,12.63,0.00,0.00,1146.64
1939,,0.12,0.04,,,,,4.74,0.24,0.05,8.77,1.73,1.46,,0.87,0.00,0.00,3.08,20.12,,,,,0.01,0.37,,1.62,,0.72,0.95,,0.00,,25.93,,,,1.37,20.31,1.27,,,,,,0.39,,0.76,,13.97,3.06,0.02,4.45,,,,0.29,0.61,,,0.00,1.12,,,,,1.33,53.12,,,,,0.45,177.03,,0.07,,,,,,,,,,0.01,3.94,,13.46,7.97,3.32,3.15,8.20,0.01,12.59,,34.87,,7.36,,,,,0.63,,0.73,0.02,,,,,1.14,,,0.27,,,0.47,,,,,,,,,6.19,,0.04,,0.09,0.02,0.88,,,,11.11,,1.22,,,0.22,,3.42,,,0.00,,,,,1.60,0.02,0.02,14.17,1.30,,,0.17,1.14,0.00,0.00,,6.87,67.66,0.00,,,0.09,,,0.45,,1.07,,,,4.49,0.30,,,10.96,4.29,,,,,,,8.00,3.24,0.02,1.96,0.36,0.01,,,,2.58,0.01,1.34,0.93,,,,21.46,,123.49,,456.04,0.02,2.82,,1.91,1.94,,,,0.81,1092.43,120.84,1002.29,210.99,346.35,12.79,100.10,3.49,571.69,14.23,488.15,9.99,12.84,0.00,0.00,1213.28
1940,,0.19,0.07,,,,,4.33,0.29,0.04,7.93,2.00,1.75,,0.81,0.00,0.00,3.69,16.95,,,,,0.01,0.42,,1.77,,0.81,1.12,,0.00,,29.65,,,,1.44,24.78,1.14,,,,,,0.46,,0.61,,15.75,3.94,0.02,4.05,,,,0.30,0.83,,,0.00,1.34,,,,,0.63,37.59,,,,,0.54,178.58,,0.06,,,,,,,,,,,4.32,0.01,14.28,7.84,2.10,3.14,7.40,0.02,13.38,,41.82,,8.82,,,,,0.76,,0.88,0.01,,,,,1.37,,,0.31,,,0.70,,,,,,,,,6.33,,0.04,,0.11,0.02,0.87,,,,9.13,,1.30,,,0.23,,1.78,,,0.00,,,,,1.45,0.03,0.03,45.65,1.06,,,0.22,1.36,0.00,0.00,,6.54,81.12,0.00,,,0.07,,,0.59,,1.23,,,,5.06,0.35,,,11.33,5.90,,,,,,,5.04,2.27,0.01,2.12,0.43,0.02,,,,2.93,0.02,1.49,1.11,,,,25.73,,129.68,,511.73,0.02,3.38,,3.37,1.85,,,,0.94,1193.37,131.59,1085.65,239.31,360.36,13.55,116.35,3.67,608.19,12.42,547.71,9.22,13.84,0.00,0.00,1324.96
1941,,0.17,0.09,,,,,3.80,0.26,0.05,9.43,2.18,1.54,,0.78,0.00,0.00,3.24,17.79,,,,,0.01,0.00,,1.71,,0.54,1.21,,0.00,,32.79,,,,1.52,31.11,1.02,,,,,,0.00,0.02,0.75,,15.85,4.39,0.03,4.75,,,,0.20,1.08,,,0.00,1.18,0.00,,,,0.89,32.73,,,,,0.47,180.35,,0.04,,,,0.00,,,,,,0.01,4.87,0.01,14.62,7.23,1.31,2.31,5.68,0.02,11.71,,42.20,,7.75,,,,,0.66,,0.78,0.01,,,,,1.21,,,0.00,,,0.60,,,,,,,,,6.15,,0.00,,0.11,0.02,0.87,,,,10.13,,1.36,,,0.27,,1.31,,,0.00,,,,,1.43,0.02,0.03,44.98,1.03,,,0.24,1.20,0.00,0.00,,6.15,71.27,0.00,,,0.09,,,0.49,,0.00,,,,5.09,0.00,,,12.10,5.87,,,,,,,4.11,1.81,0.01,2.17,0.38,0.02,,,,2.70,0.04,1.53,0.98,,,,22.61,,128.18,,557.75,0.02,2.96,,4.11,1.73,,,,1.02,1223.89,131.36,1130.14,225.11,355.18,14.74,120.74,3.62,584.98,9.83,596.69,10.79,13.85,0.00,0.00,1355.25
1942,,0.20,0.14,,,,,3.68,0.14,0.03,9.96,2.33,0.84,,0.71,0.00,0.00,1.77,16.67,,,,,0.01,0.00,,1.60,,0.34,1.46,,0.00,,35.77,,,,1.58,34.83,1.14,,,,,,0.00,0.02,0.44,,17.10,4.85,0.04,4.50,,,,0.29,1.05,,,0.00,0.64,0.00,,,,0.77,33.43,,,,,0.26,182.29,,0.06,,,,0.00,,,,,,,5.14,,14.61,2.58,2.17,1.91,8.06,0.03,11.43,,40.34,,4.20,,,,,0.36,,0.42,0.10,,,,,0.66,,,0.00,,,0.18,,,,,,,,,5.18,,0.00,,0.09,0.01,0.28,,,,9.44,,1.39,0.00,,0.34,,1.26,,,0.00,,,,,1.65,,0.04,49.57,0.83,,,0.27,0.65,0.00,0.00,,6.46,38.74,0.00,,,0.05,,,0.52,,0.00,,,,5.49,0.00,,,13.22,6.29,,,,,,,3.55,1.59,0.01,1.75,0.21,,,,,2.91,0.04,1.35,0.54,,,,12.29,,127.97,,599.96,0.02,1.65,,3.15,0.92,,,,1.13,1229.74,122.23,1178.11,173.86,360.45,16.05,109.16,3.46,544.93,12.96,640.92,11.35,13.15,0.00,0.00,1351.97
1943,,0.13,0.13,,,,,3.84,0.15,0.05,9.55,2.62,0.88,,0.75,0.00,0.00,1.84,15.79,,,,,0.01,0.02,,1.77,,0.51,1.59,,0.00,,37.68,,,,1.67,29.75,1.02,,,,,,0.02,0.02,0.70,,18.87,4.70,0.06,5.63,,,,0.29,1.12,,,0.00,0.67,0.00,,,,1.08,34.18,,,,,0.27,185.43,,0.06,,,,0.00,,,,,,,5.24,0.01,12.73,5.19,2.99,1.94,8.31,0.02,1.94,,41.11,,4.39,,,,,0.38,,0.44,0.01,,,,,0.69,,,0.01,,,0.36,,,,,,,,,5.20,,0.00,,0.10,0.01,0.11,,,,9.53,,1.47,0.00,,0.37,,1.49,,,0.00,,,,,1.79,,0.04,53.98,0.80,,,0.26,0.68,0.00,0.00,,6.03,40.44,0.00,,,0.08,,,0.54,,0.04,,,,6.07,0.01,,,13.31,6.51,,,,,,,4.32,1.68,0.01,1.75,0.22,0.01,,,,2.80,0.01,1.67,0.56,,,,12.83,,124.13,,620.10,0.02,1.73,,2.82,0.76,,,,1.29,1253.93,120.27,1200.72,173.48,363.45,16.41,105.81,3.68,546.74,14.31,662.99,11.02,13.26,0.00,0.00,1374.20
1944,,0.04,0.14,,,,,3.81,0.21,0.06,9.34,2.56,1.28,,0.77,0.00,0.00,2.67,9.04,,,,,0.01,0.00,,1.61,,0.68,1.20,,0.00,,38.32,,,,1.68,28.11,1.29,,,,,,0.00,0.02,0.88,,17.99,4.96,0.05,5.54,,,,0.36,1.19,,,0.00,0.97,,,,,0.74,21.83,,,,,0.39,163.83,,0.03,,,,0.00,,,,,,,4.33,0.01,13.02,2.39,3.49,1.73,11.37,0.02,0.98,,37.86,,6.36,,,,,0.55,,0.64,0.02,,,,,1.00,,,0.00,,,0.30,,,,,,,,,5.49,,0.00,,0.11,0.01,0.08,,,,6.37,,1.49,0.00,,0.45,,1.33,,,0.00,,,,,1.76,,0.04,51.59,0.89,,,0.28,0.99,0.00,0.00,,4.11,58.64,0.00,,,0.11,,,0.89,,0.01,,,,5.79,0.00,,,14.89,7.04,,,,,,,3.40,1.21,0.00,1.26,0.31,0.00,,,,2.94,0.02,1.92,0.81,,,,18.60,,120.64,,667.28,0.03,2.50,,4.13,0.39,,,,1.31,1266.32,128.51,1191.51,203.31,311.60,18.19,101.77,4.03,515.75,18.48,711.09,10.83,14.70,0.00,0.00,1394.83
1945,,0.03,0.17,,,,,3.73,0.22,0.07,8.92,1.25,1.35,,0.84,0.00,0.00,2.83,10.58,,,,,0.01,0.21,,1.86,,0.25,1.42,,0.00,,35.62,,,,1.54,15.25,1.22,,,,,,0.23,0.03,1.02,,9.55,0.02,0.05,3.83,,,,0.33,1.19,,,,1.02,,,,,0.17,29.25,,,,,0.42,31.68,,0.02,,,,0.00,,,,,,,2.24,0.00,14.43,1.04,3.86,1.86,14.44,0.02,1.19,,20.92,,6.74,,,,,0.58,,0.68,0.02,,,,,1.05,0.01,,0.16,0.00,,0.17,,,,,,,,,6.17,,0.02,,0.14,0.01,0.08,,,,4.00,,1.53,0.00,,0.38,,1.09,,,0.00,,,,,1.71,0.00,0.05,16.23,0.91,,,0.00,1.04,0.00,0.00,,5.16,62.08,0.00,,,0.12,,,2.41,,0.62,,,,3.07,0.18,,,15.25,7.71,,,,,,,1.24,0.44,0.00,0.60,0.33,,,,,3.01,0.03,1.93,0.86,,,,19.69,,113.98,,643.98,0.03,2.62,,4.30,0.17,,,,1.22,1042.80,117.21,962.15,197.86,134.53,18.43,66.04,4.27,336.74,23.51,685.78,10.46,14.78,0.00,0.00,1160.01
1946,,0.13,0.21,,,,,3.74,0.25,0.08,9.67,3.48,1.51,,0.92,0.03,0.00,3.17,15.40,,,,,0.02,0.42,,2.04,,0.26,1.36,,0.00,,37.78,,,,1.48,9.85,1.35,,,,,,0.45,0.05,1.15,,11.89,0.02,0.08,4.82,,,,0.30,1.15,,,,1.15,,,,,0.90,45.10,,,,,0.47,74.15,,0.03,,,,0.00,,,,,,,2.95,0.00,14.25,0.37,3.92,2.24,16.44,0.04,6.05,,14.38,,7.58,,,,0.67,0.65,,0.76,0.02,,,,,1.18,0.01,,0.31,,,0.17,,,,,,,,,6.99,,0.04,,0.19,0.01,0.00,,,,8.49,,1.51,0.00,,0.45,,1.93,,,0.17,,,,,1.57,0.03,0.04,28.55,1.06,,,0.13,1.17,0.00,0.00,,4.77,69.77,0.00,,,0.14,,,6.87,,1.23,,,,3.81,0.35,,,15.30,7.67,,,,,,,4.74,1.57,0.01,0.78,0.37,,,,,2.99,0.04,1.92,0.96,,,,22.13,,119.03,,616.13,0.04,2.93,,21.85,0.19,,,,1.18,1125.25,140.67,1035.39,230.53,231.34,18.60,55.36,4.41,452.26,30.79,660.90,11.18,32.42,0.00,0.00,1265.92
1947,,0.25,0.20,,,,,3.96,0.30,0.09,10.38,4.81,1.82,,1.08,0.03,0.00,3.82,22.39,,,,,0.02,0.59,,2.44,,1.46,1.61,,0.00,,39.18,,,,1.56,11.42,1.38,,,,,,0.63,0.05,1.30,,13.50,0.02,0.09,5.86,,,0.00,0.32,1.20,,,,1.39,,,,,1.49,50.12,,,,,0.56,86.70,,0.05,,,,0.00,,,,,,0.00,3.78,0.00,14.51,1.11,3.94,2.40,17.32,0.04,10.04,,19.11,,9.13,,,,1.84,0.78,,0.92,0.02,,,,,1.42,0.01,,0.43,0.00,,0.19,,,,,,,,,8.01,,0.06,,0.23,0.02,0.01,,,,12.17,,1.49,0.00,,0.43,,2.90,,,0.18,,,,,1.61,0.05,0.05,24.99,1.51,,,0.24,1.41,0.00,0.00,,4.46,84.01,0.00,,,0.16,,,10.30,,1.71,,,,4.32,0.48,,,15.24,8.51,,,,,,,6.85,2.58,0.01,0.99,0.45,0.01,,,,3.28,0.03,2.04,1.15,,,,26.65,,125.89,,678.45,0.04,3.51,,5.59,0.19,,,,1.10,1261.04,141.39,1153.23,249.20,270.39,18.54,67.24,4.90,520.70,36.59,725.64,11.86,16.95,0.00,0.00,1402.43
1948,,0.19,0.22,,,,,4.75,0.32,0.09,10.49,6.68,1.93,,1.25,0.04,0.00,4.06,23.21,,,,,0.02,0.66,,2.14,,0.02,1.70,,0.00,,43.26,,,,1.69,10.48,1.22,,,,,,0.71,0.05,1.33,,14.59,0.38,0.10,4.66,,,0.01,0.35,1.68,,,,1.48,0.00,,,,2.31,53.63,,,,,0.59,103.12,,0.37,,,,0.00,,,,,,0.01,4.47,0.00,14.52,4.23,0.00,2.30,21.27,0.02,9.70,,24.04,,9.72,,,,0.09,0.83,,0.98,0.03,,,,,1.51,0.01,,0.48,0.00,,0.32,,,,,,,,,8.33,,0.07,,0.26,0.01,0.04,,,,12.90,,1.50,0.00,,0.45,,3.00,,,0.20,,0.01,,,1.74,0.06,0.06,24.27,1.43,,,0.46,1.50,0.00,0.00,,6.38,89.40,0.00,,,0.16,,,4.90,,1.93,,,,4.67,0.55,,,15.58,8.93,,,,,,,8.41,2.79,0.01,1.24,0.48,0.01,,,,3.45,0.04,2.10,1.22,,,,28.36,,129.79,,704.85,0.04,3.72,,6.97,0.27,,,,1.24,1336.43,141.66,1220.00,258.09,298.95,19.58,75.14,5.12,561.19,29.67,756.43,11.99,18.97,0.00,0.00,1478.09
1949,0.00,0.28,0.25,,,,,4.19,0.36,0.00,10.27,7.25,2.19,,1.26,0.05,0.00,4.62,22.04,,,,,0.00,0.76,,2.01,,3.13,2.03,,0.00,,39.58,,,,1.60,16.94,1.40,,,,,,0.81,0.05,0.00,,15.34,0.49,0.13,4.61,,,0.01,0.35,2.04,,,,1.68,0.00,,,,1.35,62.51,,,,,0.68,117.94,,0.45,,,,0.00,,,,,,0.01,5.57,0.00,15.34,5.98,0.31,2.28,22.93,0.03,10.85,,26.86,,11.05,,,,0.29,0.95,,1.11,0.03,,,,,1.72,0.02,,0.55,0.00,,0.33,,,,,,,,,7.90,,0.07,,0.30,0.02,0.03,,,,13.78,,1.53,0.00,,0.41,,2.84,,,0.28,,0.01,,,1.81,0.09,0.08,28.77,1.51,0.07,,0.59,1.71,0.00,0.00,,6.31,101.62,0.00,,,0.00,,,5.02,,2.20,,,,4.91,0.62,,,16.54,9.76,,,,,,,7.32,2.33,0.01,1.22,0.54,0.02,,,,3.75,0.03,2.17,1.39,,,,32.24,,132.40,,590.85,0.04,4.22,,7.84,0.29,,,,1.40,1271.07,160.66,1137.54,294.19,330.54,21.11,93.04,3.82,612.16,32.13,638.33,11.81,19.33,0.00,0.00,1431.73
