,Fossil fuel and cement production emissions by fuel type,,,,,,,
,"All values in million tonnes of carbon per year (MtC/yr), except the per capita emissions which are in tonnes of carbon per person per year (tC/person/yr). For values in million tonnes of CO2 per year, multiply the values below by 3.664",,,,,,,
,1MtC = 1 million tonne of carbon = 3.664 million tonnes of CO2,,,,,,,
,Methods: Full details of the method are described in Friedlingstein et al (2021) and Andrew and Peters (2021),,,,,,,
,The uncertainty for the global estimates is about ±5 % for a ± 1 sigma confidence level. ,,,,,,,
,Cite as: Friedlingstein et al (2021; see summary tab),,,,,,,
,,,,,,,,
MtC/yr,,,,,,,,
Year,fossil.emissions.excluding.carbonation,Coal,Oil,Gas,Cement.emission,Flaring,Other,Per.Capita
1959,2417,1350,793,207,40,25,2,1
1960,2562,1406,853,228,43,24,8,1
1961,2571,1349,905,241,45,24,8,1
1962,2661,1345,972,264,48,23,8,1
1963,2803,1394,1039,286,51,25,9,1
1964,2956,1423,1121,315,56,31,10,1
1965,3089,1445,1204,336,59,36,9,1
1966,3239,1460,1300,366,64,39,10,1
1967,3342,1437,1386,391,66,52,10,1
1968,3524,1453,1509,426,70,56,11,1
1969,3758,1507,1632,466,74,67,11,1
1970,4066,1555,1856,489,79,76,12,1
1971,4230,1556,1966,528,81,88,12,1
1972,4428,1554,2120,560,86,95,13,1
1973,4662,1598,2266,582,91,110,14,1
1974,4643,1601,2234,595,91,107,14,1
1975,4653,1640,2215,602,91,92,13,1
1976,4909,1717,2335,640,95,108,14,1
1977,5048,1755,2423,653,99,104,14,1
1978,5205,1801,2497,681,106,106,14,1
1979,5352,1871,2540,722,107,98,14,1
1980,5321,1926,2446,742,108,86,13,1
1981,5194,1921,2333,754,108,65,13,1
1982,5152,1954,2276,737,108,64,12,1
1983,5186,2008,2251,746,110,58,13,1
1984,5365,2103,2274,811,112,51,14,1
1985,5546,2251,2275,842,114,50,15,1
1986,5628,2278,2343,826,119,46,16,1
1987,5805,2357,2366,893,124,44,20,1
1988,6033,2438,2451,938,131,51,24,1
1989,6116,2445,2494,978,134,41,24,1
1990,6207,2378,2515,1049,135,69,61,1
1991,6340,2356,2644,1070,139,73,59,1
1992,6158,2301,2507,1082,144,64,59,1
1993,6221,2328,2510,1111,150,63,59,1
1994,6265,2341,2520,1121,160,64,59,1
1995,6399,2408,2546,1151,170,64,61,1
1996,6590,2469,2621,1202,173,64,60,1
1997,6631,2456,2663,1206,179,66,61,1
1998,6605,2391,2687,1226,179,63,60,1
1999,6691,2373,2749,1262,187,61,60,1
2000,6886,2460,2806,1293,196,73,59,1
2001,6945,2473,2830,1306,204,74,58,1
2002,7106,2580,2829,1344,215,78,59,1
2003,7468,2798,2910,1391,231,78,60,1
2004,7812,2974,3005,1438,248,85,63,1
2005,8078,3158,3030,1472,262,90,66,1
2006,8346,3336,3058,1507,286,91,69,1
2007,8594,3496,3068,1558,306,95,71,1
2008,8752,3612,3056,1603,311,99,71,1
2009,8625,3566,3001,1572,319,100,66,1
2010,9099,3813,3085,1694,341,100,67,1
2011,9406,4034,3093,1741,367,96,75,1
2012,9544,4080,3138,1776,376,99,75,1
2013,9629,4105,3161,1789,393,101,80,1
2014,9697,4111,3174,1818,408,104,83,1
2015,9687,4017,3242,1852,392,101,82,1
2016,9675,3919,3263,1902,404,106,82,1
2017,9804,3945,3310,1943,410,115,82,1
2018,10001,4017,3326,2036,427,112,82,1
2019,10016,3977,3337,2062,439,118,83,1
2020,9500,3815,3021,2021,444,119,81,1
